id,course_code,course_number,course_name,sources,curriculum_programs,requirement_types,scrape_status,found_semester
3570100,357 100,100,PRECALCULUS,prerequisite_closure,,,scraped,20252
3570119,357 119,119,CALCULUS WITH ANALYTIC GEOMETRY,prerequisite_closure,,,scraped,20252
3570120,357 120,120,CALCULUS FOR FUNCTIONS OF SEVERAL VARIABLES,prerequisite_closure,,,scraped,20252
3590101,359 101,101,DEVELOPMENT OF READING AND WRITING SKILLS I,prerequisite_closure,,,scraped,20252
3590102,359 102,102,DEVELOPMENT OF READING AND WRITING SKILLS II,prerequisite_closure,,,scraped,20252
3620201,362 201,201,PRINCIPLES OF KEMAL ATATÜRK I,prerequisite_closure,,,scraped,20252
3120100,BA 100,100,CAREER PLANNING,curriculum,CE,required_course,scraped,20252
5620101,CE 101,101,CIVIL ENGINEERING DRAWING,curriculum,CE,required_course,scraped,20252
5620102,CE 102,102,INTRODUCTION TO CIVIL ENGINEERING,curriculum,CE,required_course,scraped,20252
5620204,CE 204,204,UNCERTAINTY AND DATA ANALYSIS,curriculum,CE,required_course,scraped,20252
5620221,CE 221,221,ENGINEERING MECHANICS I,curriculum;prerequisite_closure,CE,required_course,scraped,20252
5620222,CE 222,222,ENGINEERING MECHANICS II,curriculum,CE,required_course,scraped,20252
5620224,CE 224,224,MECHANICS OF MATERIALS,curriculum;prerequisite_closure,CE,required_course,scraped,20252
5620231,CE 231,231,ENGINEERING ECONOMY,curriculum,CE,required_course,scraped,20251
5620241,CE 241,241,MATERIALS SCIENCE,curriculum,CE,required_course,scraped,20252
5620272,CE 272,272,FLUID MECHANICS,curriculum;prerequisite_closure,CE,required_course,scraped,20252
5620300,CE 300,300,SUMMER PRACTICE I,curriculum,CE,summer_practice,scraped,20252
5620305,CE 305,305,NUMERICAL METHODS FOR ENGINEERS,curriculum,CE,required_course,scraped,20251
5620332,CE 332,332,CONSTRUCTION ENGINEERING &MANAGEMENT,curriculum,CE,required_course,scraped,20252
5620344,CE 344,344,MATERIALS OF CONSTRUCTION,curriculum,CE,required_course,scraped,20252
5620353,CE 353,353,PRINCIPLES OF TRANSPORTATION&TRAFFIC E,curriculum,CE,required_course,scraped,20251
5620363,CE 363,363,SOIL MECHANICS,curriculum;prerequisite_closure,CE,required_course,scraped,20252
5620366,CE 366,366,FOUNDATION ENGINEERING I,curriculum,CE,required_course,scraped,20252
5620372,CE 372,372,HYDROMECHANICS,curriculum;prerequisite_closure,CE,required_course,scraped,20252
5620378,CE 378,378,WATER RESOURCES ENGINEERING,curriculum,CE,required_course,scraped,20252
5620382,CE 382,382,REINFORCED CONCRETE FUNDAMENTALS,curriculum,CE,required_course,scraped,20252
5620383,CE 383,383,STRUCTURAL ANALYSIS,curriculum,CE,required_course,scraped,20252
5620388,CE 388,388,FUNDAMENTALS OF STEEL DESIGN,curriculum,CE,required_course,scraped,20252
5620400,CE 400,400,SUMMER PRACTICE II,curriculum,CE,summer_practice,scraped,20252
5620410,CE 410,410,CIVIL ENGINEERING DESIGN,curriculum,CE,required_course,scraped,20252
5710240,CENG 240,240,PROGRAMMING WITH PYTHON FOR ENGINEERS,curriculum,CE,required_course,scraped,20252
2340107,CHEM 107,107,GENERAL CHEMISTRY,curriculum,CE,required_course,scraped,20252
6390101,ENG 101,101,ENGLISH FOR ACADEMIC PURPOSES I,curriculum;prerequisite_closure,CE,required_course,scraped,20252
6390102,ENG 102,102,ENGLISH FOR ACADEMIC PURPOSES II,curriculum;prerequisite_closure,CE,required_course,scraped,20252
6390211,ENG 211,211,ACADEMIC SPEAKING SKILLS,curriculum,CE,required_course,scraped,20252
5610202,ES 202,202,MATHEMATICS FOR ENGINEERS,curriculum;prerequisite_closure,CE,required_course,scraped,20252
5640104,GEOE 104,104,GEOLOGY FOR CIVIL ENGINEERING,curriculum,CE,required_course,scraped,20252
2402201,HIST 2201,2201,PRINCIPLES OF KEMAL ATATÜRK I,curriculum;prerequisite_closure,CE,course_choice,scraped,20252
2402202,HIST 2202,2202,,curriculum,CE,course_choice,scraped,20252
2402205,HIST 2205,2205,HISTORY OF THE TURKISH REVOLUTION I,curriculum;prerequisite_closure,CE,course_choice,scraped,20252
2402206,HIST 2206,2206,HISTORY OF THE TURKISH REVOLUTION II,curriculum,CE,course_choice,scraped,20252
9010100,IS 100,100,INTRODUCTION TO INFORMATION TECHNOLOGIES AND APPLICATIONS,curriculum,CE,required_course,scraped,20252
2360117,MATH 117,117,CALCULUS I,prerequisite_closure,,,scraped,20252
2360118,MATH 118,118,CALCULUS II,prerequisite_closure,,,scraped,20252
2360119,MATH 119,119,CALCULUS WITH ANALYTIC GEOMETRY,curriculum;prerequisite_closure,CE,required_course,scraped,20252
2360120,MATH 120,120,CALCULUS OF FUNCTIONS OF SEVERAL VARIABLES,curriculum;prerequisite_closure,CE,required_course,scraped,20252
2360129,MATH 129,129,SINGLE VARIABLE CALCULUS,prerequisite_closure,,,scraped,20251
2360130,MATH 130,130,MULTIVARIABLE AND VECTOR CALCULUS,prerequisite_closure,,,scraped,20252
2360151,MATH 151,151,CALCULUS I,prerequisite_closure,,,not_found_in_searched_offerings,
2360152,MATH 152,152,CALCULUS II,prerequisite_closure,,,not_found_in_searched_offerings,
2360157,MATH 157,157,BASIC CALCULUS I,prerequisite_closure,,,not_found_in_searched_offerings,
2360158,MATH 158,158,BASIC CALCULUS II,prerequisite_closure,,,not_found_in_searched_offerings,
2360219,MATH 219,219,INTRODUCTION TO DIFFERENTIAL EQUATIONS,curriculum,CE,required_course,scraped,20252
8770101,OHS 101,101,OCCUPATIONAL HEALTH AND SAFETY-I,curriculum;prerequisite_closure,CE,required_course,scraped,20252
8770301,OHS 301,301,OCCUPATIONAL HEALTH AND SAFETY - II,curriculum,CE,required_course,scraped,20252
2300105,PHYS 105,105,GENERAL PHYSICS I,curriculum,CE,required_course,scraped,20251
2300106,PHYS 106,106,GENERAL PHYSICS II,curriculum,CE,required_course,scraped,20252
6420105,TURK 105,105,TURKISH I,curriculum;prerequisite_closure,CE,course_choice,scraped,20251
6420106,TURK 106,106,TURKISH II,curriculum,CE,course_choice,scraped,20252
6420201,TURK 201,201,ELEMENTARY TURKISH I,curriculum;prerequisite_closure,CE,course_choice,scraped,20252
6420202,TURK 202,202,INTERMEDIATE TURKISH I,curriculum,CE,course_choice,scraped,20252
