id,course_code,course_number,course_name,sources,curriculum_programs,requirement_types,scrape_status,found_semester
3570100,357 100,100,PRECALCULUS,prerequisite_closure,,,scraped,20252
3570119,357 119,119,CALCULUS WITH ANALYTIC GEOMETRY,prerequisite_closure,,,scraped,20252
3570120,357 120,120,CALCULUS FOR FUNCTIONS OF SEVERAL VARIABLES,prerequisite_closure,,,scraped,20252
3590101,359 101,101,DEVELOPMENT OF READING AND WRITING SKILLS I,prerequisite_closure,,,scraped,20252
3590102,359 102,102,DEVELOPMENT OF READING AND WRITING SKILLS II,prerequisite_closure,,,scraped,20252
3600111,360 111,111,GENERAL CHEMISTRY I,prerequisite_closure,,,scraped,20251
3620201,362 201,201,PRINCIPLES OF KEMAL ATATÜRK I,prerequisite_closure,,,scraped,20252
3120100,BA 100,100,CAREER PLANNING,curriculum,CHE,required_course,scraped,20252
5710240,CENG 240,240,PROGRAMMING WITH PYTHON FOR ENGINEERS,curriculum,CHE,required_course,scraped,20252
5630102,CHE 102,102,INTRODUCTION TO CHEMICAL ENGINEERING,curriculum;prerequisite_closure,CHE,required_course,scraped,20252
5630203,CHE 203,203,CHEMICAL PROCESS CALCULATIONS,curriculum;prerequisite_closure,CHE,required_course,scraped,20251
5630204,CHE 204,204,THERMODYNAMICS I,curriculum;prerequisite_closure,CHE,required_course,scraped,20252
5630222,CHE 222,222,FLUID MECHANICS,curriculum;prerequisite_closure,CHE,required_course,scraped,20252
5630300,CHE 300,300,SUMMER PRACTICE,curriculum,CHE,summer_practice,scraped,20252
5630305,CHE 305,305,THERMODYNAMICS II,curriculum;prerequisite_closure,CHE,required_course,scraped,20252
5630311,CHE 311,311,CHEMICAL REACTION ENGINEERING,curriculum;prerequisite_closure,CHE,required_course,scraped,20252
5630320,CHE 320,320,CHEMICAL ENGINEERING LABORATORY I,curriculum;prerequisite_closure,CHE,required_course,scraped,20252
5630327,CHE 327,327,HEAT & MASS TRANSFER OPERATIONS,curriculum;prerequisite_closure,CHE,required_course,scraped,20251
5630328,CHE 328,328,SEPARATION PROCESSES,curriculum;prerequisite_closure,CHE,required_course,scraped,20252
5630352,CHE 352,352,MATHEMATICAL MODELING IN CHEMICAL ENG.,curriculum,CHE,required_course,scraped,20252
5630400,CHE 400,400,SUMMER PRACTICE II,curriculum,CHE,summer_practice,scraped,20252
5630407,CHE 407,407,PROCESS CONTROL,curriculum,CHE,required_course,scraped,20251
5630410,CHE 410,410,CHEMICAL ENGINEERING LABORATORY II,curriculum;prerequisite_closure,CHE,required_course,scraped,20251
5630417,CHE 417,417,CHEMICAL ENGINEERING DESIGN I,curriculum;prerequisite_closure,CHE,required_course,scraped,20251
5630418,CHE 418,418,CHEMICAL ENGINEERING DESIGN II,curriculum,CHE,required_course,scraped,20252
5630420,CHE 420,420,CHEMICAL ENGINEERING LABORATORY III,curriculum,CHE,required_course,scraped,20252
5630423,CHE 423,423,CHEMICAL ENGINEERING ECONOMICS,curriculum,CHE,required_course,scraped,20252
2340101,CHEM 101,101,GENERAL CHEMISTRY I,prerequisite_closure,,,scraped,20251
2340102,CHEM 102,102,GENERAL CHEMISTRY II,prerequisite_closure,,,scraped,20252
2340105,CHEM 105,105,GENERAL CHEMISTRY I,prerequisite_closure,,,scraped,20252
2340106,CHEM 106,106,GENERAL CHEMISTRY II,prerequisite_closure,,,scraped,20252
2340107,CHEM 107,107,GENERAL CHEMISTRY,prerequisite_closure,,,scraped,20252
2340109,CHEM 109,109,GENERAL CHEMISTRY FOR HONOUR PROG. I,prerequisite_closure,,,not_found_in_searched_offerings,
2340110,CHEM 110,110,GENERAL CHEMISTRY FOR HONOUR PROG. II,prerequisite_closure,,,not_found_in_searched_offerings,
2340111,CHEM 111,111,GENERAL CHEMISTRY I,curriculum;prerequisite_closure,CHE,required_course,scraped,20251
2340112,CHEM 112,112,GENERAL CHEMISTRY II,curriculum;prerequisite_closure,CHE,required_course,scraped,20252
2340220,CHEM 220,220,ORGANIC CHEMISTRY,curriculum;prerequisite_closure,CHE,required_course,scraped,20252
2340230,CHEM 230,230,ANALYTICAL CHEMISTRY FOR ENGINEERS,curriculum;prerequisite_closure,CHE,required_course,scraped,20252
2340252,CHEM 252,252,PHYSICAL CHEMISTRY I,prerequisite_closure,,,scraped,20252
2340257,CHEM 257,257,MATHEMATICS FOR CHEMISTS,prerequisite_closure,,,scraped,20252
2340353,CHEM 353,353,PHYSICAL CHEMISTRY II,curriculum;prerequisite_closure,CHE,required_course,scraped,20252
3110210,ECON 210,210,PRINCIPLES OF ECONOMICS,curriculum;prerequisite_closure,CHE,required_course,scraped,20252
6390101,ENG 101,101,ENGLISH FOR ACADEMIC PURPOSES I,curriculum;prerequisite_closure,CHE,required_course,scraped,20252
6390102,ENG 102,102,ENGLISH FOR ACADEMIC PURPOSES II,curriculum;prerequisite_closure,CHE,required_course,scraped,20252
6390211,ENG 211,211,ACADEMIC SPEAKING SKILLS,curriculum,CHE,required_course,scraped,20252
5610361,ES 361,361,COMPUTING METHODS IN ENGINEERING,curriculum,CHE,required_course,scraped,20252
2402201,HIST 2201,2201,PRINCIPLES OF KEMAL ATATÜRK I,curriculum;prerequisite_closure,CHE,course_choice,scraped,20252
2402202,HIST 2202,2202,,curriculum,CHE,course_choice,scraped,20252
2402205,HIST 2205,2205,HISTORY OF THE TURKISH REVOLUTION I,curriculum;prerequisite_closure,CHE,course_choice,scraped,20252
2402206,HIST 2206,2206,HISTORY OF THE TURKISH REVOLUTION II,curriculum,CHE,course_choice,scraped,20252
9010100,IS 100,100,INTRODUCTION TO INFORMATION TECHNOLOGIES AND APPLICATIONS,curriculum,CHE,required_course,scraped,20252
2360117,MATH 117,117,CALCULUS I,prerequisite_closure,,,scraped,20252
2360118,MATH 118,118,CALCULUS II,prerequisite_closure,,,scraped,20252
2360119,MATH 119,119,CALCULUS WITH ANALYTIC GEOMETRY,curriculum;prerequisite_closure,CHE,required_course,scraped,20252
2360120,MATH 120,120,CALCULUS OF FUNCTIONS OF SEVERAL VARIABLES,curriculum;prerequisite_closure,CHE,required_course,scraped,20252
2360129,MATH 129,129,SINGLE VARIABLE CALCULUS,prerequisite_closure,,,scraped,20251
2360130,MATH 130,130,MULTIVARIABLE AND VECTOR CALCULUS,prerequisite_closure,,,scraped,20252
2360151,MATH 151,151,CALCULUS I,prerequisite_closure,,,not_found_in_searched_offerings,
