from,from_course_code,to,to_course_code,set_no,min_grade,type,position
3570100,357 100,3570119,357 119,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3570119,357 119,3570120,357 120,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360119,MATH 119,3570120,357 120,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360117,MATH 117,3570120,357 120,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3590101,359 101,3590102,359 102,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
6390101,ENG 101,3590102,359 102,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360155,MATH 155,5610221,561 221,1,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360157,MATH 157,5610221,561 221,2,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360119,MATH 119,5610221,561 221,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360151,MATH 151,5610221,561 221,4,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360119,MATH 119,5610225,561 225,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2300105,PHYS 105,5610225,561 225,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5610221,561 221,5620374,CE 374,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5610223,ES 223,5620374,CE 374,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5610225,561 225,5620374,CE 374,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2300105,PHYS 105,5630204,CHE 204,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340111,CHEM 111,2340102,CHEM 102,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340101,CHEM 101,2340102,CHEM 102,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340105,CHEM 105,2340102,CHEM 102,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340109,CHEM 109,2340102,CHEM 102,4,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2340109,CHEM 109,2340106,CHEM 106,3,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2340105,CHEM 105,2340106,CHEM 106,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340101,CHEM 101,2340106,CHEM 106,5,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340111,CHEM 111,2340106,CHEM 106,6,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340111,CHEM 111,2340112,CHEM 112,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340101,CHEM 101,2340112,CHEM 112,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340105,CHEM 105,2340112,CHEM 112,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340109,CHEM 109,2340112,CHEM 112,5,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
3600111,360 111,2340112,CHEM 112,6,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2340112,CHEM 112,2340229,CHEM 229,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340107,CHEM 107,2340229,CHEM 229,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340102,CHEM 102,2340229,CHEM 229,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340106,CHEM 106,2340229,CHEM 229,5,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340110,CHEM 110,2340229,CHEM 229,6,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
6390101,ENG 101,6390102,ENG 102,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3590101,359 101,6390102,ENG 102,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
6390101,ENG 101,6390211,ENG 211,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
6390102,ENG 102,6390211,ENG 211,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3590101,359 101,6390211,ENG 211,3,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3590102,359 102,6390211,ENG 211,3,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
5600102,ENVE 102,5600208,ENVE 208,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5600201,ENVE 201,5600303,ENVE 303,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5600206,ENVE 206,5600303,ENVE 303,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5600201,ENVE 201,5600304,ENVE 304,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5600202,ENVE 202,5600309,ENVE 309,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5620374,CE 374,5600312,ENVE 312,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5620375,CE 375,5600312,ENVE 312,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5600201,ENVE 201,5600322,ENVE 322,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360219,MATH 219,5600322,ENVE 322,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5600322,ENVE 322,5600404,ENVE 404,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5610361,ES 361,5600404,ENVE 404,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5600303,ENVE 303,5600407,ENVE 407,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5600304,ENVE 304,5600407,ENVE 407,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5600407,ENVE 407,5600408,ENVE 408,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360157,MATH 157,5610223,ES 223,1,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360155,MATH 155,5610223,ES 223,2,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360119,MATH 119,5610223,ES 223,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360155,MATH 155,5610303,ES 303,1,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360157,MATH 157,5610303,ES 303,2,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360119,MATH 119,5610303,ES 303,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360151,MATH 151,5610303,ES 303,4,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
3570119,357 119,5610303,ES 303,5,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360119,MATH 119,5610361,ES 361,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2402201,HIST 2201,2402202,HIST 2202,1,U,Undergraduate / Lisans,Offered Course / A??k Ders
