id,course_code,course_number,course_name,sources,curriculum_programs,requirement_types,scrape_status,found_semester
3570100,357 100,100,PRECALCULUS,prerequisite_closure,,,scraped,20252
3570119,357 119,119,CALCULUS WITH ANALYTIC GEOMETRY,prerequisite_closure,,,scraped,20252
3570120,357 120,120,CALCULUS FOR FUNCTIONS OF SEVERAL VARIABLES,prerequisite_closure,,,scraped,20252
3590101,359 101,101,DEVELOPMENT OF READING AND WRITING SKILLS I,prerequisite_closure,,,scraped,20252
3590102,359 102,102,DEVELOPMENT OF READING AND WRITING SKILLS II,prerequisite_closure,,,scraped,20252
3600111,360 111,111,GENERAL CHEMISTRY I,prerequisite_closure,,,scraped,20251
3620201,362 201,201,PRINCIPLES OF KEMAL ATATÜRK I,prerequisite_closure,,,scraped,20252
5610221,561 221,221,ENGINEERING MECHANICS I,prerequisite_closure,,,scraped,20252
5610225,561 225,225,ENGINEERING MECHANICS,prerequisite_closure,,,scraped,20251
3120100,BA 100,100,CAREER PLANNING,curriculum,ENVE,required_course,scraped,20252
5620101,CE 101,101,CIVIL ENGINEERING DRAWING,curriculum,ENVE,required_course,scraped,20252
5620374,CE 374,374,FLUID MECHANICS,curriculum;prerequisite_closure,ENVE,required_course,scraped,20252
5620375,CE 375,375,ENVIRONMENTAL ENGINEERING HYDROLOGY,curriculum;prerequisite_closure,ENVE,required_course,scraped,20251
5710240,CENG 240,240,PROGRAMMING WITH PYTHON FOR ENGINEERS,curriculum,ENVE,required_course,scraped,20252
5630204,CHE 204,204,THERMODYNAMICS I,curriculum,ENVE,required_course,scraped,20252
2340101,CHEM 101,101,GENERAL CHEMISTRY I,prerequisite_closure,,,scraped,20251
2340102,CHEM 102,102,GENERAL CHEMISTRY II,prerequisite_closure,,,scraped,20252
2340105,CHEM 105,105,GENERAL CHEMISTRY I,prerequisite_closure,,,scraped,20252
2340106,CHEM 106,106,GENERAL CHEMISTRY II,prerequisite_closure,,,scraped,20252
2340107,CHEM 107,107,GENERAL CHEMISTRY,curriculum;prerequisite_closure,ENVE,required_course,scraped,20252
2340109,CHEM 109,109,GENERAL CHEMISTRY FOR HONOUR PROG. I,prerequisite_closure,,,not_found_in_searched_offerings,
2340110,CHEM 110,110,GENERAL CHEMISTRY FOR HONOUR PROG. II,prerequisite_closure,,,not_found_in_searched_offerings,
2340111,CHEM 111,111,GENERAL CHEMISTRY I,prerequisite_closure,,,scraped,20251
2340112,CHEM 112,112,GENERAL CHEMISTRY II,prerequisite_closure,,,scraped,20252
2340229,CHEM 229,229,ORGANIC CHEMISTRY FOR ENGINEERS,curriculum,ENVE,required_course,scraped,20252
6390101,ENG 101,101,ENGLISH FOR ACADEMIC PURPOSES I,curriculum;prerequisite_closure,ENVE,required_course,scraped,20252
6390102,ENG 102,102,ENGLISH FOR ACADEMIC PURPOSES II,curriculum;prerequisite_closure,ENVE,required_course,scraped,20252
6390211,ENG 211,211,ACADEMIC SPEAKING SKILLS,curriculum,ENVE,required_course,scraped,20252
5600101,ENVE 101,101,INTRODUCTION TO ENVIRONMENTAL ENG.,curriculum,ENVE,required_course,scraped,20251
5600102,ENVE 102,102,ENVIRONMENTAL CHEMISTRY I,curriculum;prerequisite_closure,ENVE,required_course,scraped,20252
5600201,ENVE 201,201,FUNDAMENTALS OF ENVIRONMENTAL ENG.PRO.,curriculum;prerequisite_closure,ENVE,required_course,scraped,20251
5600202,ENVE 202,202,ENVIRONMENTAL MICROBIOLOGY,curriculum;prerequisite_closure,ENVE,required_course,scraped,20252
5600206,ENVE 206,206,PHYSICO-CHEMICAL PRIN.OF ENVIRON.ENG.,curriculum;prerequisite_closure,ENVE,required_course,scraped,20252
5600208,ENVE 208,208,ENVIRONMENTAL CHEMISTRY LABORATORY,curriculum,ENVE,required_course,scraped,20251
5600300,ENVE 300,300,SUMMER PRACTICE I,curriculum,ENVE,summer_practice,scraped,20252
5600303,ENVE 303,303,UNIT OP. & PROCES. OF WATER TREAT.,curriculum;prerequisite_closure,ENVE,required_course,scraped,20251
5600304,ENVE 304,304,UNIT OP. & PROCES.OF WASTEWATER TREAT.,curriculum;prerequisite_closure,ENVE,required_course,scraped,20252
5600307,ENVE 307,307,AIR POLLUTION,curriculum,ENVE,required_course,scraped,20252
5600309,ENVE 309,309,FUNDAMENTALS OF BIOLOGICAL TREATMENT,curriculum,ENVE,required_course,scraped,20251
5600312,ENVE 312,312,WATER SUPPLY AND URBAN DRAINAGE,curriculum,ENVE,required_course,scraped,20252
5600322,ENVE 322,322,TRANSPORT PROCESSES IN ENVIRONMENTAL ENGINEERING,curriculum;prerequisite_closure,ENVE,required_course,scraped,20252
5600400,ENVE 400,400,SUMMER PRACTICE II,curriculum,ENVE,summer_practice,scraped,20252
5600404,ENVE 404,404,ENVIRONMENTAL MODELING,curriculum,ENVE,required_course,scraped,20251
5600407,ENVE 407,407,ENVIRONMENTAL ENGINEERING DESIGN I,curriculum;prerequisite_closure,ENVE,required_course,scraped,20251
5600408,ENVE 408,408,ENVIRONMENTAL ENGINEERING DESIGN II,curriculum,ENVE,required_course,scraped,20252
5600412,ENVE 412,412,SOLID WASTE MANAGEMENT,curriculum,ENVE,required_course,scraped,20251
5610223,ES 223,223,STATICS AND STRENGTH OF MATERIALS,curriculum;prerequisite_closure,ENVE,required_course,scraped,20252
5610303,ES 303,303,STATISTICAL METHODS FOR ENGINEERS,curriculum,ENVE,required_course,scraped,20252
5610361,ES 361,361,COMPUTING METHODS IN ENGINEERING,curriculum;prerequisite_closure,ENVE,required_course,scraped,20252
2402201,HIST 2201,2201,PRINCIPLES OF KEMAL ATATÜRK I,curriculum;prerequisite_closure,ENVE,course_choice,scraped,20252
2402202,HIST 2202,2202,,curriculum,ENVE,course_choice,scraped,20252
2402205,HIST 2205,2205,HISTORY OF THE TURKISH REVOLUTION I,curriculum;prerequisite_closure,ENVE,course_choice,scraped,20252
2402206,HIST 2206,2206,HISTORY OF THE TURKISH REVOLUTION II,curriculum,ENVE,course_choice,scraped,20252
9010100,IS 100,100,INTRODUCTION TO INFORMATION TECHNOLOGIES AND APPLICATIONS,curriculum,ENVE,required_course,scraped,20252
2360117,MATH 117,117,CALCULUS I,prerequisite_closure,,,scraped,20252
2360118,MATH 118,118,CALCULUS II,prerequisite_closure,,,scraped,20252
