from,from_course_code,to,to_course_code,set_no,min_grade,type,position
3570100,357 100,3570119,357 119,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3570119,357 119,3570120,357 120,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360119,MATH 119,3570120,357 120,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360117,MATH 117,3570120,357 120,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3590101,359 101,3590102,359 102,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
6390101,ENG 101,3590102,359 102,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2300105,PHYS 105,5630204,CHE 204,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3110210,ECON 210,5630423,CHE 423,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340111,CHEM 111,2340102,CHEM 102,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340101,CHEM 101,2340102,CHEM 102,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340105,CHEM 105,2340102,CHEM 102,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340109,CHEM 109,2340102,CHEM 102,4,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2340109,CHEM 109,2340106,CHEM 106,3,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2340105,CHEM 105,2340106,CHEM 106,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340101,CHEM 101,2340106,CHEM 106,5,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340111,CHEM 111,2340106,CHEM 106,6,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340111,CHEM 111,2340112,CHEM 112,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340101,CHEM 101,2340112,CHEM 112,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340105,CHEM 105,2340112,CHEM 112,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340109,CHEM 109,2340112,CHEM 112,5,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
3600111,360 111,2340112,CHEM 112,6,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2340112,CHEM 112,2340229,CHEM 229,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340107,CHEM 107,2340229,CHEM 229,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340102,CHEM 102,2340229,CHEM 229,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340106,CHEM 106,2340229,CHEM 229,5,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340110,CHEM 110,2340229,CHEM 229,6,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2340107,CHEM 107,2340230,CHEM 230,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340102,CHEM 102,2340230,CHEM 230,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340112,CHEM 112,2340230,CHEM 230,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340106,CHEM 106,2340230,CHEM 230,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340110,CHEM 110,2340230,CHEM 230,5,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2340106,CHEM 106,2340252,CHEM 252,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340257,CHEM 257,2340252,CHEM 252,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2300111,PHYS 111,2340252,CHEM 252,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340107,CHEM 107,2340252,CHEM 252,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360219,MATH 219,2340252,CHEM 252,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2300105,PHYS 105,2340252,CHEM 252,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340106,CHEM 106,2340252,CHEM 252,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360219,MATH 219,2340252,CHEM 252,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2300111,PHYS 111,2340252,CHEM 252,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340107,CHEM 107,2340252,CHEM 252,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360219,MATH 219,2340252,CHEM 252,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2300111,PHYS 111,2340252,CHEM 252,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340107,CHEM 107,2340252,CHEM 252,5,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360257,MATH 257,2340252,CHEM 252,5,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2300111,PHYS 111,2340252,CHEM 252,5,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340107,CHEM 107,2340252,CHEM 252,6,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340257,CHEM 257,2340252,CHEM 252,6,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2300105,PHYS 105,2340252,CHEM 252,6,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340106,CHEM 106,2340252,CHEM 252,7,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360219,MATH 219,2340252,CHEM 252,7,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2300105,PHYS 105,2340252,CHEM 252,7,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340106,CHEM 106,2340252,CHEM 252,8,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340257,CHEM 257,2340252,CHEM 252,8,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2300105,PHYS 105,2340252,CHEM 252,8,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360152,MATH 152,2340257,CHEM 257,2,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360156,MATH 156,2340257,CHEM 257,3,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360120,MATH 120,2340257,CHEM 257,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3570120,357 120,2340257,CHEM 257,5,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360118,MATH 118,2340257,CHEM 257,6,DD,Undergraduate / Lisans,Offered Course / A??k Ders
6390101,ENG 101,6390102,ENG 102,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3590101,359 101,6390102,ENG 102,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
6390101,ENG 101,6390211,ENG 211,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
