from,from_course_code,to,to_course_code,set_no,min_grade,type,position
3570100,357 100,3570119,357 119,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3570119,357 119,3570120,357 120,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360119,MATH 119,3570120,357 120,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360117,MATH 117,3570120,357 120,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3590101,359 101,3590102,359 102,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
6390101,ENG 101,3590102,359 102,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3570119,357 119,3640221,364 221,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360157,MATH 157,5610223,561 223,1,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360155,MATH 155,5610223,561 223,2,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360119,MATH 119,5610223,561 223,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360119,MATH 119,5610225,561 225,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2300105,PHYS 105,5610225,561 225,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5610221,ES 221,5620374,CE 374,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5610223,561 223,5620374,CE 374,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5610225,561 225,5620374,CE 374,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340111,CHEM 111,2340112,CHEM 112,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340101,CHEM 101,2340112,CHEM 112,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340105,CHEM 105,2340112,CHEM 112,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340109,CHEM 109,2340112,CHEM 112,5,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
3600111,360 111,2340112,CHEM 112,6,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
6390101,ENG 101,6390102,ENG 102,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3590101,359 101,6390102,ENG 102,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
6390101,ENG 101,6390211,ENG 211,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
6390102,ENG 102,6390211,ENG 211,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3590101,359 101,6390211,ENG 211,3,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3590102,359 102,6390211,ENG 211,3,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360155,MATH 155,5610221,ES 221,1,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360157,MATH 157,5610221,ES 221,2,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360119,MATH 119,5610221,ES 221,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360151,MATH 151,5610221,ES 221,4,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
5610221,ES 221,5610224,ES 224,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5610225,561 225,5610224,ES 224,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3640221,364 221,5610224,ES 224,4,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360155,MATH 155,5610303,ES 303,1,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360157,MATH 157,5610303,ES 303,2,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360119,MATH 119,5610303,ES 303,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360151,MATH 151,5610303,ES 303,4,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
3570119,357 119,5610303,ES 303,5,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
5640209,GEOE 209,5640208,GEOE 208,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
8770101,OHS 101,5640209,GEOE 209,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
5640213,GEOE 213,5640210,GEOE 210,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5640209,GEOE 209,5640214,GEOE 214,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5640208,GEOE 208,5640313,GEOE 313,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340112,CHEM 112,5640318,GEOE 318,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5640214,GEOE 214,5640326,GEOE 326,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5640313,GEOE 313,5640326,GEOE 326,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
8770301,OHS 301,5640327,GEOE 327,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
5620364,CE 364,5640407,GEOE 407,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5620374,CE 374,5640423,GEOE 423,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5640327,GEOE 327,5640491,GEOE 491,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5640401,GEOE 401,5640492,GEOE 492,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5640491,GEOE 491,5640492,GEOE 492,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5640407,GEOE 407,5640492,GEOE 492,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5640491,GEOE 491,5640492,GEOE 492,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5640423,GEOE 423,5640492,GEOE 492,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5640491,GEOE 491,5640492,GEOE 492,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2402201,HIST 2201,2402202,HIST 2202,1,U,Undergraduate / Lisans,Offered Course / A??k Ders
3620201,362 201,2402202,HIST 2202,2,U,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2402205,HIST 2205,2402206,HIST 2206,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
2402205,HIST 2205,2402206,HIST 2206,2,U,Undergraduate / Lisans,Offered Course / A??k Ders
2360117,MATH 117,2360118,MATH 118,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360119,MATH 119,2360118,MATH 118,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360119,MATH 119,2360120,MATH 120,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3570119,357 119,2360120,MATH 120,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360151,MATH 151,2360120,MATH 120,3,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
