from,from_course_code,to,to_course_code,set_no,min_grade,type,position
3570100,357 100,3570119,357 119,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3570119,357 119,3570120,357 120,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360119,MATH 119,3570120,357 120,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360117,MATH 117,3570120,357 120,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3590101,359 101,3590102,359 102,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
6390101,ENG 101,3590102,359 102,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3570119,357 119,3650205,365 205,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3580105,358 105,3650205,365 205,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3650205,365 205,3650206,365 206,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
5720261,AE 261,3650206,365 206,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3650205,365 205,3650208,365 208,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
5720261,AE 261,3650208,365 208,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2300112,PHYS 112,5670209,EE 209,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2300106,PHYS 106,5670209,EE 209,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
6390101,ENG 101,6390102,ENG 102,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3590101,359 101,6390102,ENG 102,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
6390101,ENG 101,6390211,ENG 211,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
6390102,ENG 102,6390211,ENG 211,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3590101,359 101,6390211,ENG 211,3,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3590102,359 102,6390211,ENG 211,3,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2402201,HIST 2201,2402202,HIST 2202,1,U,Undergraduate / Lisans,Offered Course / A??k Ders
3620201,362 201,2402202,HIST 2202,2,U,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2402205,HIST 2205,2402206,HIST 2206,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
2402205,HIST 2205,2402206,HIST 2206,2,U,Undergraduate / Lisans,Offered Course / A??k Ders
2360117,MATH 117,2360118,MATH 118,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360119,MATH 119,2360118,MATH 118,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360119,MATH 119,2360120,MATH 120,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3570119,357 119,2360120,MATH 120,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360151,MATH 151,2360120,MATH 120,3,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360117,MATH 117,2360120,MATH 120,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360129,MATH 129,2360130,MATH 130,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360120,MATH 120,2360219,MATH 219,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3570120,357 120,2360219,MATH 219,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360118,MATH 118,2360219,MATH 219,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360130,MATH 130,2360219,MATH 219,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5690203,ME 203,5690204,ME 204,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360120,MATH 120,5690205,ME 205,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2300105,PHYS 105,5690205,ME 205,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5690205,ME 205,5690206,ME 206,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5690205,ME 205,5690208,ME 208,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360120,MATH 120,5690210,ME 210,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5690110,ME 110,5690300,ME 300,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5690202,ME 202,5690300,ME 300,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
8770101,OHS 101,5690300,ME 300,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
5690208,ME 208,5690301,ME 301,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3650208,365 208,5690301,ME 301,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360219,MATH 219,5690302,ME 302,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5690301,ME 301,5690302,ME 302,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5690202,ME 202,5690303,ME 303,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5690206,ME 206,5690303,ME 303,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3650206,365 206,5690303,ME 303,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
5690202,ME 202,5690303,ME 303,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360219,MATH 219,5690304,ME 304,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5690208,ME 208,5690304,ME 304,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5690208,ME 208,5690305,ME 305,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5690210,ME 210,5690305,ME 305,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5690305,ME 305,5690306,ME 306,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5690206,ME 206,5690307,ME 307,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3650206,365 206,5690307,ME 307,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
5690307,ME 307,5690308,ME 308,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5690210,ME 210,5690310,ME 310,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5690203,ME 203,5690311,ME 311,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5690311,ME 311,5690312,ME 312,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
8770101,OHS 101,8770301,OHS 301,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
6420105,TURK 105,6420106,TURK 106,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
6420201,TURK 201,6420106,TURK 106,2,S,Undergraduate / Lisans,Offered Course / A??k Ders
