from,from_course_code,to,to_course_code,set_no,min_grade,type,position
3570100,357 100,3570119,357 119,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3570119,357 119,3570120,357 120,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360119,MATH 119,3570120,357 120,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360117,MATH 117,3570120,357 120,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3590101,359 101,3590102,359 102,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
6390101,ENG 101,3590102,359 102,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340111,CHEM 111,2340112,CHEM 112,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340101,CHEM 101,2340112,CHEM 112,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340105,CHEM 105,2340112,CHEM 112,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340109,CHEM 109,2340112,CHEM 112,5,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
3600111,360 111,2340112,CHEM 112,6,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
6390101,ENG 101,6390102,ENG 102,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3590101,359 101,6390102,ENG 102,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
6390101,ENG 101,6390211,ENG 211,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
6390102,ENG 102,6390211,ENG 211,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3590101,359 101,6390211,ENG 211,3,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3590102,359 102,6390211,ENG 211,3,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360157,MATH 157,5610223,ES 223,1,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360155,MATH 155,5610223,ES 223,2,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360119,MATH 119,5610223,ES 223,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360119,MATH 119,5610361,ES 361,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2402201,HIST 2201,2402202,HIST 2202,1,U,Undergraduate / Lisans,Offered Course / A??k Ders
3620201,362 201,2402202,HIST 2202,2,U,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2402205,HIST 2205,2402206,HIST 2206,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
2402205,HIST 2205,2402206,HIST 2206,2,U,Undergraduate / Lisans,Offered Course / A??k Ders
2360117,MATH 117,2360118,MATH 118,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360119,MATH 119,2360118,MATH 118,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360119,MATH 119,2360120,MATH 120,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3570119,357 119,2360120,MATH 120,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360151,MATH 151,2360120,MATH 120,3,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360117,MATH 117,2360120,MATH 120,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360129,MATH 129,2360130,MATH 130,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360120,MATH 120,2360219,MATH 219,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3570120,357 120,2360219,MATH 219,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360118,MATH 118,2360219,MATH 219,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360130,MATH 130,2360219,MATH 219,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5700201,METE 201,5700202,METE 202,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5700203,METE 203,5700204,METE 204,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5700201,METE 201,5700206,METE 206,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5700202,METE 202,5700301,METE 301,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5700204,METE 204,5700301,METE 301,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5610223,ES 223,5700303,METE 303,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5700202,METE 202,5700303,METE 303,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5700202,METE 202,5700306,METE 306,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5700204,METE 204,5700306,METE 306,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5700202,METE 202,5700308,METE 308,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5700204,METE 204,5700308,METE 308,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5700202,METE 202,5700349,METE 349,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5710230,CENG 230,5700350,METE 350,1,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
5610361,ES 361,5700350,METE 350,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5710240,CENG 240,5700350,METE 350,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5610361,ES 361,5700350,METE 350,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5700206,METE 206,5700401,METE 401,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5700215,METE 215,5700401,METE 401,1,DD,Labaratory / Laboratuvar,Offered Course / A??k Ders
5700303,METE 303,5700401,METE 401,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5700301,METE 301,5700402,METE 402,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5700401,METE 401,5700402,METE 402,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5700303,METE 303,5700453,METE 453,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
8770101,OHS 101,8770301,OHS 301,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
6420105,TURK 105,6420106,TURK 106,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
6420201,TURK 201,6420106,TURK 106,2,S,Undergraduate / Lisans,Offered Course / A??k Ders
6420201,TURK 201,6420202,TURK 202,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
6420105,TURK 105,6420202,TURK 202,2,S,Undergraduate / Lisans,Offered Course / A??k Ders
6420303,TURK 303,6420304,TURK 304,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
