from,from_course_code,to,to_course_code,set_no,min_grade,type,position
3550140,355 140,3550213,355 213,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3890140,389 140,3550213,355 213,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3550230,355 230,3550301,355 301,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3550240,355 240,3550310,355 310,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3550213,355 213,3550350,355 350,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3550301,355 301,3550350,355 350,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
5710301,CENG 301,3550350,355 350,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3550310,355 310,3550350,355 350,4,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
5710310,CENG 310,3550350,355 350,5,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3570100,357 100,3570119,357 119,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3570119,357 119,3570120,357 120,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
2360119,MATH 119,3570120,357 120,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360117,MATH 117,3570120,357 120,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3570120,357 120,3570219,357 219,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3590101,359 101,3590102,359 102,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
6390101,ENG 101,3590102,359 102,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3570119,357 119,3640221,364 221,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3640221,364 221,3640224,364 224,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3650205,365 205,3640224,364 224,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3570119,357 119,3650205,365 205,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3580105,358 105,3650205,365 205,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3650205,365 205,3650206,365 206,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
5720261,AEE 261,3650206,365 206,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3650205,365 205,3650208,365 208,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
5720261,AEE 261,3650208,365 208,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3740110,374 110,3740220,374 220,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3640224,364 224,3740321,374 321,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3740211,374 211,3740321,374 321,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3650206,365 206,3740321,374 321,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3740211,374 211,3740321,374 321,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3740211,374 211,3740321,374 321,3,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3840264,384 264,3740321,374 321,3,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3740218,374 218,3740331,374 331,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3740220,374 220,3740331,374 331,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3740216,374 216,3740331,374 331,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3570119,357 119,3840261,384 261,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3580105,358 105,3840261,384 261,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3840261,384 261,3840264,384 264,1,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3650205,365 205,3840264,384 264,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
5720122,AE 122,5720264,AE 264,1,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
5720261,AEE 261,5720264,AE 264,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5720244,AEE 244,5720341,AE 341,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5720241,AE 241,5720341,AE 341,2,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
5720261,AEE 261,5720262,AEE 262,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5610361,ES 361,5720305,AEE 305,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5720202,AEE 202,5720305,AEE 305,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5720264,AE 264,5720361,AEE 361,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5720266,AEE 266,5720361,AEE 361,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5720341,AE 341,5720451,AEE 451,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5720345,AEE 345,5720451,AEE 451,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360120,MATH 120,5620204,CE 204,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360151,MATH 151,5620221,CE 221,1,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360157,MATH 157,5620221,CE 221,2,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
2360119,MATH 119,5620221,CE 221,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5620221,CE 221,5620222,CE 222,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5620221,CE 221,5620224,CE 224,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5620221,CE 221,5620272,CE 272,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5610202,ES 202,5620305,CE 305,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5620363,CE 363,5620366,CE 366,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5620272,CE 272,5620372,CE 372,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5610221,ES 221,5620374,CE 374,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5610223,ES 223,5620374,CE 374,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5610225,ES 225,5620374,CE 374,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5620372,CE 372,5620378,CE 378,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5620224,CE 224,5620382,CE 382,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5620224,CE 224,5620383,CE 383,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5620224,CE 224,5620388,CE 388,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5710140,CENG 140,5710213,CENG 213,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360120,MATH 120,5710222,CENG 222,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5710111,CENG 111,5710242,CENG 242,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5710213,CENG 213,5710242,CENG 242,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3550111,355 111,5710242,CENG 242,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
3550213,355 213,5710242,CENG 242,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
5710223,CENG 223,5710280,CENG 280,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
8770101,OHS 101,5710300,CENG 300,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
5710230,CENG 230,5710301,CENG 301,1,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
5710229,CENG 229,5710301,CENG 301,2,DD,Undergraduate / Lisans,Closed Course / Kapal? Ders
5710240,CENG 240,5710301,CENG 301,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
4300210,430 210,5710301,CENG 301,4,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2300200,PHYS 200,5710301,CENG 301,5,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5710240,CENG 240,5710310,CENG 310,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
4300210,430 210,5710310,CENG 310,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2300200,PHYS 200,5710310,CENG 310,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5710213,CENG 213,5710315,CENG 315,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5710232,CENG 232,5710331,CENG 331,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5710331,CENG 331,5710334,CENG 334,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5710232,CENG 232,5710336,CENG 336,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5710213,CENG 213,5710350,CENG 350,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5710301,CENG 301,5710350,CENG 350,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5710310,CENG 310,5710350,CENG 350,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5710213,CENG 213,5710351,CENG 351,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5710301,CENG 301,5710351,CENG 351,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5710310,CENG 310,5710351,CENG 351,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360219,MATH 219,5710384,CENG 384,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360260,MATH 260,5710384,CENG 384,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
8770301,OHS 301,5710400,CENG 400,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
5710350,CENG 350,5710491,CENG 491,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
3550350,355 350,5710491,CENG 491,2,DD,Undergraduate NCC / Lisans KKK,Offered Course / A??k Ders
5710491,CENG 491,5710492,CENG 492,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360119,MATH 119,5630203,CHE 203,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2300105,PHYS 105,5630204,CHE 204,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2360120,MATH 120,5630222,CHE 222,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5630102,CHE 102,5630300,CHE 300,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5630203,CHE 203,5630300,CHE 300,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
8770301,OHS 301,5630300,CHE 300,1,S,Undergraduate / Lisans,Offered Course / A??k Ders
5630204,CHE 204,5630305,CHE 305,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5630203,CHE 203,5630311,CHE 311,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5630305,CHE 305,5630311,CHE 311,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5630203,CHE 203,5630311,CHE 311,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5630327,CHE 327,5630311,CHE 311,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5630222,CHE 222,5630320,CHE 320,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340220,CHEM 220,5630320,CHE 320,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340230,CHEM 230,5630320,CHE 320,1,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5630222,CHE 222,5630320,CHE 320,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340220,CHEM 220,5630320,CHE 320,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
2340353,CHEM 353,5630320,CHE 320,2,DD,Undergraduate / Lisans,Offered Course / A??k Ders
5630222,CHE 222,5630320,CHE 320,3,DD,Undergraduate / Lisans,Offered Course / A??k Ders
