course_code_numeric,course_code,reason
5720202,AEE 202,not_found_in_searched_offerings
5720266,AEE 266,not_found_in_searched_offerings
5720301,AEE 301,not_found_in_searched_offerings
5720302,AEE 302,not_found_in_searched_offerings
5720338,AEE 338,not_found_in_searched_offerings
5720345,AEE 345,not_found_in_searched_offerings
5720346,AEE 346,not_found_in_searched_offerings
5720364,AEE 364,not_found_in_searched_offerings
5720371,AEE 371,not_found_in_searched_offerings
5720385,AEE 385,not_found_in_searched_offerings
2340109,CHEM 109,not_found_in_searched_offerings
2340110,CHEM 110,not_found_in_searched_offerings
2360151,MATH 151,not_found_in_searched_offerings
2360152,MATH 152,not_found_in_searched_offerings
2360158,MATH 158,not_found_in_searched_offerings
2360155,MATH 155,not_found_in_searched_offerings
2360157,MATH 157,not_found_in_searched_offerings
3740216,374 216,not_found_in_searched_offerings
2360156,MATH 156,not_found_in_searched_offerings
5680262,IE 262,not_found_in_searched_offerings
5710230,CENG 230,not_found_in_searched_offerings
5710229,CENG 229,not_found_in_searched_offerings
2360253,MATH 253,not_found_in_searched_offerings
2360257,MATH 257,not_found_in_searched_offerings
5720122,AE 122,not_found_in_searched_offerings
5720241,AE 241,not_found_in_searched_offerings
